HouseID,Area,Bedrooms,Age,Location,Parking,Garden,Price
H001,1200,2,5,Urban,Yes,No,4500000
H002,1500,3,10,Suburban,Yes,Yes,6200000
H003,1800,4,8,Rural,No,Yes,5800000
H004,,3,12,Urban,Yes,No,5500000
H005,2200,4,15,Suburban,Yes,Yes,7200000
H006,1350,2,7,Rural,No,No,4300000
H007,1400,3,,Urban,Yes,Yes,6100000
H008,1600,3,9,Suburban,Y,Yes,6500000
H009,1750,4,11,Rural,N,No,5700000
H010,2000,4,14,Urban,Yes,Yes,7800000
H011,120 sqm,2,6,Urban,No,No,4400000
H012,1450 sqft,3,9,Suburban,Yes,Yes,6300000
H013,1700,4,13,Rural,No,No,5600000
H014,1900,4,15,Urban,Yes,Yes,$7900000
H015,2100,5,18,Suburban,Yes,Yes,8500000
H016,1300,2,5,urban,Yes,No,4600000
H017,1550,3,8,Urban ,No,No,6000000
H018,1650,3,10,SUBURBAN,Yes,Yes,6700000
H019,1800,4,12,Rural,No,Yes,5900000
H020,-1500,3,7,Urban,Yes,No,5000000
H021,1250,2,4,Rural,No,No,4200000
H022,1450,3,8,Suburban,Yes,Yes,6400000
H023,1700,4,10,Urban,Yes,Yes,7100000
H024,1900,4,14,Rural,No,No,5800000
H025,25000,5,6,Urban,Yes,Yes,9000000
H026,1350,2,7,Suburban,Yes,No,4900000
H027,1500,3,9,Rural,No,No,5200000
H028,1600,3,11,Urban,Yes,Yes,6900000
H029,1750,4,13,Suburban,Yes,Yes,7400000
H030,1900,4,15,Rural,No,No,6000000
H031,1300,2,5,Urban,Yes,No,4600000
H032,1450,3,8,Suburban,Yes,Yes,6400000
H033,1700,4,10,Urban,Yes,Yes,7100000
H034,1900,4,14,Rural,No,No,5800000
H035,unknown,3,9,Urban,Yes,No,6200000
H036,1600,3,-2,Suburban,Yes,Yes,6600000
H037,1750,4,13,Rural,No,No,
H038,1850,4,15,Urban,Yes,Yes,7900000
H039,2100,5,18,Suburban,Yes,Yes,8600000
H040,1300,2,5,Rural,No,No,4300000
H041,1450,3,8,Urban,Yes,No,6100000
H042,1650,3,10,Suburban,Yes,Yes,6700000
H043,1800,4,12,Rural,No,Yes,5900000
H044,1900,4,14,Urban,Yes,Yes,7800000
H045,2100,5,18,Suburban,Yes,Yes,8500000
H046,1300,2,5,Rural,No,No,4300000
H047,1450,3,8,Urban,Yes,No,6100000
H048,1650,3,10,Suburban,Yes,Yes,6700000
H049,1800,4,12,Rural,No,Yes,5900000
H050,1450,3,8,Suburban,Yes,Yes,6400000
